학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3301-01-00   ,3,한국근대문학사 ,,,,,정한나,"월5,6/수6",위216/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3310-01-00   ,3,영상문학론 ,,,,,"백문임,배새롬","화7/목8,9",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3315-01-00   ,3,시조가사론 ,,,,,박애경,"월3,4/수4",동영상콘텐츠/외01,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3402-01-00   ,3,국어형태론 ,,,,,손혜옥,"화1/목2,3",외02/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3414-01-00   ,3,사회언어학 ,,,,,"조태린,김주성","월3,4,수4/월3,4,수4",동영상콘텐츠/위205,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3501-01-00   ,3,한국한문학작가론 ,,,,,오보라,"월5,6,수6/월5,6,수6",위210/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3512-01-00   ,3,국어음운론 ,,,,,"한영균,김은솔","화5/목8,9",외02/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3513-01-00   ,3,한국구전이야기의탐색 ,,,,,"이미라,황은주","수3,금3,4/수3,금3,4",위210/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3516-01-00   ,3,국어논리및논술 ,,,,,박경우,"화8,9,10",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3521-01-00   ,3,고전문학과젠더 ,,,,,박무영,"화4/목5,6",동영상콘텐츠/위216,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3525-01-00   ,3,중세국어자료강독 ,,,,,"서상규,김선혜","수5/금5,6",실시간온라인/외01,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3526-01-00   ,3,언어습득론 ,,,,,"원미진,남미정","월7,8/수7",실시간온라인/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⓓ⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3529-01-00   ,3,한국문학과역사 ,,,,,유시어도어준,"화1,목2,3",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0101"");, ②⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,4000,KOR4601-01-00   ,3,현대비평읽기 ,,,,,소영현,"월3,4,수4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,"3,4",교직,3000,TTP3801-01-00   ,2,국어교재연구및지도법 ,,,,,유혜령,"목7,8/목7,8",실시간온라인/외110,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,4,전선,4000,KOR4410-01-00   ,3,한국어어휘교육론 ,,,,,홍혜란,"화5,6/목4",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,사학전공,,,,1,전필,2000,HIS2702-01-00   ,3,역사학입문 ,,,,,주의돈,수4,동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0121"");, ①⑥⒝",O
문과대학,사학전공,,,,2,전기,2000,HIS2401-01-00   ,3,동양사학입문 ,,,,,임성모,"화7,목8,9",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0121"");, ④⑦⒝",O
문과대학,사학전공,,,,2,전기,2000,HIS2701-01-00   ,3,서양사학입문 ,,,,,전수연,"월5,6/수6",실시간온라인/위414,"javascript:OpenList5(""H1"",""20202"",""0121"");, ⑤⑧⒝",O
문과대학,사학전공,,,,2,전필,2000,HIS2003-01-00   ,0,문화유적답사(2) ,,,,,조태섭,화10,위414,"javascript:OpenList5(""H1"",""20202"",""0121"");, ⒞",O
문과대학,사학전공,,,,2,전선,2000,HIS2103-01-00   ,3,고고학개론 ,,,,,하문식,"월7,8,수8",백S111,"javascript:OpenList5(""H1"",""20202"",""0121"");, ③⒝",O
