학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
공과대학,공과대학공통,,,,"1,2,3,4",일반,2000,ENG2112-01-00   ,3,창업208:린스타트업과고객발굴 ,,,,,권영준,"목6,7,8",공A328,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⒝",O
공과대학,공과대학공통,,,,2,전기,2000,MAT2011-01-01   ,3,선형대수와그응용 ,,,,,안수형,"월8,9",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0400"");, ①⒜",X
공과대학,공과대학공통,,,,2,전기,2000,MAT2011-01-02   ,3,선형대수와그응용 ,,,,,안수형,"월8,9",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0400"");, ①⒜",X
공과대학,공과대학공통,,,,2,전기,2000,MAT2011-02-01   ,3,선형대수와그응용 ,,,,,안수형,"화8,9",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0400"");, ①⒜",X
공과대학,공과대학공통,,,,2,전기,2000,MAT2011-02-02   ,3,선형대수와그응용 ,,,,,안수형,"화8,9",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0400"");, ①⒜",X
공과대학,공과대학공통,,,,2,전기,2000,MAT2013-01-01   ,3,확률통계 ,,,,,최베니,"수1,2,금2/수1,2,금2(금3(금3)",동영상콘텐츠/실시간온라인(동영상콘텐츠(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""0400"");, ⒜",X
공과대학,공과대학공통,,,,2,전기,2000,MAT2013-02-01   ,3,확률통계 ,,,,,최베니,"수6,7,금4/수6,7,금4(금5(금5)",동영상콘텐츠/실시간온라인(동영상콘텐츠(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""0400"");, ⒜",X
공과대학,공과대학공통,,,,2,전기,3000,MAT3114-01-01   ,3,수치해석 ,,,,,윤명호,"화1,2,목2(목3)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""0400"");, ⒜",X
공과대학,공과대학공통,,,,2,전기,3000,MAT3114-02-01   ,3,수치해석 ,,,,,윤명호,"화7,8,목5(목6)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""0400"");, ⒜",X
공과대학,공과대학공통,,,,2,전선,2000,ENG2005-01-00   ,3,우리마을리빙랩(캡스톤디자인) ,,,,,"한경희,김태연","수7,8,9",공A528,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⒝",O
공과대학,공과대학공통,,,,"2,3,4",일반,2000,ENG2007-01-00   ,3,AI스타트업 ,,,,,"한요섭,김영태","수7,8,9",공D508,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⒝",O
