학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
교육과학대학,체육교육학전공,,,,1,전기,1000,PED1109-01-00   ,3,체육원리 ,,,,,"윤여탁,오태한","월7,8,9",체104,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,1,전기,2000,PED2202-01-00   ,3,운동생리학(1) ,,,,,"백일영,서상훈","목2,3,4",스포츠302,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,1,전기,2000,PED2202-02-00   ,3,운동생리학(1) ,,,,,"김유식,조수연","월3,4,5",체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,1,전선,1000,PED1105-01-00   ,1,배드민턴교수법 ,,,,,최지영,"금3,4",체조장(체308),"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,1,전선,2000,PED2107-01-00   ,1,테니스지도법(2) ,,,,,백일영,"화3,4(화3,4)",테니스장(클레이코트)(스포츠109),"javascript:OpenList5(""H1"",""20202"",""1002"");, ⑨⒝",O
교육과학대학,체육교육학전공,,,,1,전선,1000,PED1804-01-00   ,3,응급처치지도법 ,운동부,,,,조수연,"월11,12,13",체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⑦⒝",O
교육과학대학,체육교육학전공,,,,2,전기,1000,PED1107-01-00   ,1,신체적성(1) ,,,,,서상훈,"월5,6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⑧⒝",O
교육과학대학,체육교육학전공,,,,2,전기,4000,PED4204-01-00   ,3,운동역학(2) ,,,,,이해동,"월2,3,4",스포츠302,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,2,전기,4000,PED4204-02-00   ,3,운동역학(2) ,운동부,,,,문곤성,"월2,3/월4",스포츠108/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1002"");, ①⑦⒝",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-01-00   ,1,UT세미나(건강관리를위한운동생리학의실제적접근) ,,,,,최경수,목7,체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-02-00   ,1,UT세미나(배드민턴이론과전략) ,,,,,손나래,화1,체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-03-00   ,1,UT세미나(생활체육동향과발전방안) ,,,,,장영진,목4,체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-04-00   ,1,UT세미나(스포츠멘탈트레이닝) ,,,,,박상훈,목2,체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-05-00   ,1,UT세미나(스포츠상해재활) ,,,,,김병훈,금3,체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-06-00   ,1,UT세미나(스포츠심리기술훈련) ,,,,,우성원,목5,체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-07-00   ,1,UT세미나(스포츠재활의기초) ,,,,,이인제,화1,스포츠109,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-08-00   ,1,UT세미나(스포츠트레이닝) ,,,,,지준희,목9,운동선수기숙사 세미나실,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-09-00   ,1,UT세미나(운동생리학과다이어트) ,,,,,박병준,화5,스포츠109,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-10-00   ,1,UT세미나(운동생리학의과학적기초) ,,,,,류현지,화2,스포츠109,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-11-00   ,1,UT세미나(운동선수들의멘토링) ,,,,,김건우,수10,스포츠109,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-12-00   ,1,UT세미나(운동수행증진전략) ,,,,,이태형,화2,체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-13-00   ,1,UT세미나(재활필라테스의이론과적용) ,,,,,김민진,수9,스포츠109,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-14-00   ,1,UT세미나(질환별운동처방및검사의기초) ,,,,,김대은,금3,스포츠109,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-15-00   ,1,UT세미나(체육과스포츠이해하기) ,,,,,정근영,월4,체104,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-16-00   ,1,UT세미나(체육철학및스포츠윤리) ,,,,,오태한,월6,운동선수기숙사 세미나실,"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒞",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2101-01-00   ,1,농구교수법(2) ,,,,,최지상,"금3,4",체육관,"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2106-01-00   ,1,체조교수법(2) ,,,,,최지영,"금1,2",체조장(체308),"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2808-01-00   ,1,요가교수법 ,,,,,프로스트마르띤떼레즈,"수5,6",스포츠(다목적실2),"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2204-01-00   ,3,해부학적기능학 ,,,,,이해동,"수1,2,3",스포츠315,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⑧⒝",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2206-01-00   ,3,운동처방 ,,,,,"백일영,이태형","수2,3,목1",스포츠302,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2502-01-00   ,3,교육심리 ,,,,,송수지,"금5,6,7",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1002"");, ①⒝",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2503-01-00   ,3,교육철학및교육사 ,,,,,이원재,"수6,7,8",체104,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2802-01-00   ,3,트레이닝실습지도법(1) ,운동부,,,,최지상,"수11,12/수13",운동선수기숙사 세미나실/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1002"");, ①②⑦⒝",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2805-01-00   ,3,물리치료실습 ,운동부,,,,김대은,"금11,12,13",운동선수기숙사 세미나실,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⑦⒝",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2805-02-00   ,3,물리치료실습 ,운동부,,,,조영재,"목11/목12,13",스포츠109/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1002"");, ①⑦⒝",O
교육과학대학,체육교육학전공,,,,3,전기,2000,PED2108-01-00   ,1,육상교수법(2) ,,,,,이병구,"수3,4",체조장(체308),"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
