학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
공통,"창업,현장실습",,,,"2,3,4",일반,1000,U0019-01-00   ,3,창업106:스타트업인사이트Ⅰ(국내) ,,,,,"손홍규,김영태","수1,2,3/수1,2,3",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30000"");, ⒞",X
공통,"창업,현장실습",,,,"2,3,4",일반,1000,U0020-01-00   ,3,창업108:기술&창업트렌드 ,,,,,"손홍규,김남수","목1,2,3/목1,2,3",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30000"");, ⒞",X
공통,"창업,현장실습",,,,"2,3,4",일반,3000,U0021-01-00   ,3,창업306:스타트업레벨업 ,,,,,"손홍규,김영태","월6,7,8/월6,7,8",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30000"");, ⒞",X
공통,"창업,현장실습",,,,"2,3,4",일반,4000,U0022-01-00   ,3,창업408:스타트업글로벌셀링 ,,,,,"손홍규,김영태","화6,7,8",백S106,"javascript:OpenList5(""H1"",""20202"",""30000"");, ⒞",X
